From,To,Prob
"(0, 0, 0)","(0, 0, 0)",0.02589880843333565
"(4, 0, 0)","(4, 0, 0)",0.35394636208548824
"(0, 0, 0)","(4, 0, 0)",1.6927592662551235e-06
"(4, 0, 0)","(0, 0, 0)",1.6927592662551235e-06
"(0, 0, 0)","(1, 0, 0)",5.275869673847117e-06
"(1, 0, 0)","(0, 0, 0)",5.275869673847117e-06
"(4, 0, 0)","(1, 0, 0)",5.8117137958471876e-05
"(1, 0, 0)","(4, 0, 0)",5.8117137958471876e-05
"(0, 0, 0)","(2, 0, 0)",5.275869673847116e-06
"(2, 0, 0)","(0, 0, 0)",5.275869673847116e-06
"(4, 0, 0)","(2, 0, 0)",5.8117137958471876e-05
"(2, 0, 0)","(4, 0, 0)",5.8117137958471876e-05
"(0, 0, 0)","(3, 0, 0)",5.275869673847117e-06
"(3, 0, 0)","(0, 0, 0)",5.275869673847117e-06
"(4, 0, 0)","(3, 0, 0)",5.8117137958471876e-05
"(3, 0, 0)","(4, 0, 0)",5.8117137958471876e-05
"(1, 0, 0)","(1, 0, 0)",0.20640585593529545
"(1, 0, 0)","(2, 0, 0)",9.385838275135499e-05
"(1, 0, 0)","(3, 0, 0)",9.064765423638527e-05
"(2, 0, 0)","(1, 0, 0)",9.385838275135499e-05
"(2, 0, 0)","(2, 0, 0)",0.2064060359959176
"(2, 0, 0)","(3, 0, 0)",9.046759361423115e-05
"(3, 0, 0)","(1, 0, 0)",9.064765423638527e-05
"(3, 0, 0)","(2, 0, 0)",9.046759361423115e-05
"(3, 0, 0)","(3, 0, 0)",0.20640924672443262
